id,league_id,home_team_id,away_team_id,kickoff_utc,home_score,away_score,home_tries,away_tries,status,venue,round,espn_event_id,home_form,away_form
602514,six_nations,six_nations-3,six_nations-2,2026-03-14T14:10Z,43,21,0,0,final,Aviva Stadium,0,602514.0,WWWWL,LWWWL
602515,six_nations,six_nations-4,six_nations-20,2026-03-14T16:40Z,31,17,0,0,final,Principality Stadium,0,602515.0,WLLLL,LWLLW
602516,six_nations,six_nations-9,six_nations-1,2026-03-14T20:10Z,48,46,0,0,final,Stade de France,0,602516.0,WLWWW,LLLLW
603045,premiership,premiership-25900,premiership-116227,2026-04-26T14:30Z,34,31,0,0,final,Kingsholm,0,603045.0,LLWLW,LWWWW
602656,top14,top14-25952,top14-25965,2026-05-08T18:45Z,0,0,0,0,scheduled,Scotstoun Stadium,0,602656.0,LLLWW,WWLLL
602657,top14,top14-25926,top14-25962,2026-05-08T18:45Z,0,0,0,0,scheduled,Affidea Stadium,0,602657.0,LLWWW,WLLWW
603183,super_rugby,super_rugby-25934,super_rugby-289338,2026-04-26T04:30Z,42,22,0,0,final,One NZ Stadium,0,603183.0,WWWWL,WWLLL
602829,urc,urc-25922,urc-25917,2026-04-26T19:05Z,24,27,0,0,final,Stadium de Toulouse,0,602829.0,WLWWL,WLLWW
602927,champions_cup,champions_cup-25924,champions_cup-25986,2026-05-02T14:00Z,0,0,0,0,scheduled,Aviva Stadium,0,602927.0,LWWWW,WWWWL
751,champions_cup,champions_cup-,champions_cup-,1871-03-27T00:00:00+00:00,0,0,0,0,final,Raeburn Place,0,,,
752,champions_cup,champions_cup-,champions_cup-,1872-02-05T00:00:00+00:00,0,0,0,0,final,Kennington Oval,0,,,
753,champions_cup,champions_cup-,champions_cup-,1873-03-03T00:00:00+00:00,0,0,0,0,final,Hamilton Crescent,0,,,
754,champions_cup,champions_cup-,champions_cup-,1874-02-23T00:00:00+00:00,0,0,0,0,final,Kennington Oval,0,,,
755,champions_cup,champions_cup-,champions_cup-,1875-02-15T00:00:00+00:00,0,0,0,0,final,Kennington Oval,0,,,
756,champions_cup,champions_cup-,champions_cup-,1875-03-08T00:00:00+00:00,0,0,0,0,final,Raeburn Place,0,,,
758,champions_cup,champions_cup-,champions_cup-,1875-12-13T00:00:00+00:00,0,0,0,0,final,Leinster Cricket Ground,0,,,
759,champions_cup,champions_cup-,champions_cup-,1876-03-06T00:00:00+00:00,0,0,0,0,final,Kennington Oval,0,,,
760,champions_cup,champions_cup-,champions_cup-,1877-02-05T00:00:00+00:00,0,0,0,0,final,Kennington Oval,0,,,
2035,champions_cup,champions_cup-,champions_cup-,1877-02-19T00:00:00+00:00,0,0,0,0,final,Ormeau,0,,,
761,champions_cup,champions_cup-,champions_cup-,1877-03-05T00:00:00+00:00,0,0,0,0,final,Raeburn Place,0,,,
762,champions_cup,champions_cup-,champions_cup-,1878-03-04T00:00:00+00:00,0,0,0,0,final,Kennington Oval,0,,,
763,champions_cup,champions_cup-,champions_cup-,1878-03-11T00:00:00+00:00,0,0,0,0,final,Lansdowne Road,0,,,
2037,champions_cup,champions_cup-,champions_cup-,1879-02-17T00:00:00+00:00,0,0,0,0,final,Ormeau,0,,,
764,champions_cup,champions_cup-,champions_cup-,1879-03-10T00:00:00+00:00,0,0,0,0,final,Raeburn Place,0,,,
