id,league_id,name,short_name,logo_url,espn_id
premiership-bath,premiership,Bath Rugby,BAT,,
premiership-bristol-bears,premiership,Bristol Bears,BRI,,
premiership-gloucester,premiership,Gloucester Rugby,GLO,,
top14-toulouse,top14,Stade Toulousain,TLO,,
top14-la-rochelle,top14,La Rochelle,LRO,,
top14-bordeaux-begles,top14,Bordeaux-Bègle,BOR,,
top14-lyon,top14,Lyon OU,LYO,,
top14-stade-francais,top14,Stade Français,SFP,,
top14-racing-92,top14,Racing 92,R92,,
top14-clermont,top14,ASM Clermont,CLR,,
top14-castres,top14,Castres Olympique,CAS,,
top14-pau,top14,Section Paloise,PAU,,
top14-montpellier,top14,Montpellier HR,MHR,,
top14-perpignan,top14,USA Perpignan,USP,,
top14-toulon,top14,RC Toulon,RCT,,
top14-vannes,top14,RC Vannes,VAN,,
top14-bayonne,top14,Aviron Bayonnais,ABB,,
super_rugby-force,super_rugby,Western Force,FOR,,
super_rugby-waratahs,super_rugby,NSW Waratahs,WAR,,
super_rugby-reds,super_rugby,Queensland Reds,RED,,
urc-leinster,urc,Leinster Rugby,LEI,,
urc-munster,urc,Munster Rugby,MUN,,
urc-ulster,urc,Ulster Rugby,ULS,,
urc-connacht,urc,Connacht Rugby,CON,,
urc-glasgow,urc,Glasgow Warriors,GLA,,
urc-edinburgh,urc,Edinburgh Rugby,EDI,,
urc-cardiff,urc,Cardiff Rugby,CAR,,
urc-dragons,urc,Dragons RFC,DRA,,
urc-ospreys,urc,Ospreys,OSP,,
urc-scarlets,urc,Scarlets,SCA,,
urc-benetton,urc,Benetton Rugby,BEN,,
urc-zebre,urc,Zebre Parma,ZEB,,
urc-bulls,urc,Vodacom Bulls,BUL,,
urc-lions,urc,Emirates Lions,LIO,,
urc-sharks,urc,Cell C Sharks,SHA,,
urc-stormers,urc,DHL Stormers,STO,,
champions_cup-toulouse,champions_cup,Stade Toulousain,TLO,,
champions_cup-bath,champions_cup,Bath Rugby,BAT,,
champions_cup-northampton,champions_cup,Northampton Saints,NOR,,
champions_cup-glasgow,champions_cup,Glasgow Warriors,GLA,,
champions_cup-sharks,champions_cup,Cell C Sharks,SHA,,
six_nations-england,six_nations,England,ENG,https://a.espncdn.com/i/teamlogos/rugby/teams/500/1.png,
six_nations-france,six_nations,France,FRA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/9.png,
six_nations-ireland,six_nations,Ireland,IRE,https://a.espncdn.com/i/teamlogos/rugby/teams/500/3.png,
six_nations-italy,six_nations,Italy,ITA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/20.png,
six_nations-scotland,six_nations,Scotland,SCO,https://a.espncdn.com/i/teamlogos/rugby/teams/500/2.png,
six_nations-wales,six_nations,Wales,WAL,https://a.espncdn.com/i/teamlogos/rugby/teams/500/4.png,
premiership-bath-rugby,premiership,Bath Rugby,BAT,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25898.png,
premiership-bristol-rugby,premiership,Bristol Rugby,BRI,,
premiership-exeter-chiefs,premiership,Exeter Chiefs,EXE,https://a.espncdn.com/i/teamlogos/rugby/teams/500/116227.png,
premiership-gloucester-rugby,premiership,Gloucester Rugby,GLO,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25900.png,
premiership-harlequins,premiership,Harlequins,HAR,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25901.png,
premiership-leicester-tigers,premiership,Leicester Tigers,LEI,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25903.png,
premiership-newcastle-falcons,premiership,Newcastle Falcons,NEW,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25906.png,
premiership-northampton-saints,premiership,Northampton Saints,NOR,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25907.png,
premiership-sale-sharks,premiership,Sale Sharks,SAL,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25908.png,
premiership-saracens,premiership,Saracens,SAR,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25909.png,
top14-benetton-treviso,top14,Benetton Treviso,BEN,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25927.png,
top14-bulls,top14,Bulls,BUL,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25953.png,
top14-cardiff-blues,top14,Cardiff Blues,CAR,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25965.png,
top14-connacht,top14,Connacht,CON,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25923.png,
top14-dragons,top14,Dragons,DRA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25967.png,
top14-edinburgh,top14,Edinburgh,EDI,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25951.png,
top14-glasgow-warriors,top14,Glasgow Warriors,GLA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25952.png,
top14-leinster,top14,Leinster,LEI,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25924.png,
top14-lions,top14,Lions,LIO,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25958.png,
top14-munster,top14,Munster,MUN,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25925.png,
top14-ospreys,top14,Ospreys,OSP,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25968.png,
top14-scarlets,top14,Scarlets,SCA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25966.png,
top14-sharks,top14,Sharks,SHA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25961.png,
top14-stormers,top14,Stormers,STO,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25962.png,
top14-ulster,top14,Ulster,ULS,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25926.png,
